id,id2,geography,tot_population_25,population_25_less_than_9th_grade,pop_25_9th_12th_grade_no_diploma,pop_25_high_school_graduate,pop_25_some_college_no_degree,pop_25_associates_degree,pop_25_bachelors_degree,pop_25_graduate_or_professional_degree,total_high_school_graduate_or_higher,poverty_high_school_graduate,poverty_some_college_or_associates_degree,poverty_bachelors_degree_or_higher,earnings_less_than_high_school_graduate,earnings_high_school_graduate,earnings_some_college,earnings_bachelors_degree,earnings_graduate_professional
0500000US55001,55001,"Adams County, Wisconsin",16154,3.2,10.3,42.7,22.8,8.4,8.2,4.4,86.4,11,7.8,3.9,19590,22455,27083,41025,50792
0500000US55003,55003,"Ashland County, Wisconsin",10785,2.4,7,35,21.7,11.5,14.5,7.8,90.5,13.3,13,7.1,21226,24970,25648,35213,49756
0500000US55005,55005,"Barron County, Wisconsin",32404,4.1,6.9,40.8,19.4,12.2,10.5,6.1,89,12.6,10.1,3.7,20686,26908,30464,37921,49390
0500000US55007,55007,"Bayfield County, Wisconsin",11463,1.8,4.4,31.2,23.7,10.7,18,10.3,93.8,11.1,10.5,6.1,19813,24147,26808,34537,49107
0500000US55009,55009,"Brown County, Wisconsin",166182,4,5.4,31.8,20,11.4,19.7,7.8,90.6,9.8,9.3,3.2,23152,28523,34922,47351,61092
0500000US55011,55011,"Buffalo County, Wisconsin",9554,4.3,5.3,42,20,10.7,12.4,5.3,90.4,11.5,8.2,5.2,17310,28970,35199,37083,53672
0500000US55013,55013,"Burnett County, Wisconsin",11662,2.1,7.2,40.7,23.2,10,11.5,5.3,90.7,14.3,13.1,4.4,17159,23863,26573,35795,50313
0500000US55015,55015,"Calumet County, Wisconsin",32975,3.2,4.2,34.5,18.3,11.7,20.2,7.8,92.6,6,4,2.6,28211,34724,40107,51836,62882
0500000US55017,55017,"Chippewa County, Wisconsin",43862,2.9,5.6,38.6,20.6,13,13.8,5.4,91.4,10.8,7.6,3.1,18145,28598,31939,44255,56667
0500000US55019,55019,"Clark County, Wisconsin",21825,10.6,7.6,44.2,18.3,7.6,8.4,3.3,81.8,11.6,8.9,4.5,25922,28357,31386,40459,54034
0500000US55021,55021,"Columbia County, Wisconsin",39686,2.4,5.2,35.4,23.5,11.2,15.2,7,92.3,8.5,5.6,3.5,21893,32384,37482,46733,56161
0500000US55023,55023,"Crawford County, Wisconsin",11792,3.3,6.7,42.9,22.3,9.5,10.1,5.2,90,10,8.3,5.8,18125,23194,28429,37292,50813
0500000US55025,55025,"Dane County, Wisconsin",328316,2,3.1,19.4,18.4,9.6,28.1,19.4,94.9,11.2,8.2,3.7,19438,29579,34660,50021,60945
0500000US55027,55027,"Dodge County, Wisconsin",62662,4,8.5,39.5,22,10.2,10.9,4.8,87.5,8,7.6,3.4,22256,30888,35329,43600,55713
0500000US55029,55029,"Door County, Wisconsin",21373,1.8,4.3,34.4,21.6,8.6,19.7,9.7,94,11.4,9.2,5.3,21987,25903,30075,35714,48247
0500000US55031,55031,"Douglas County, Wisconsin",30518,1.4,5.4,32.5,26.1,12.7,15.2,6.7,93.2,15.3,11.4,6.7,16653,29340,30484,41633,56635
0500000US55033,55033,"Dunn County, Wisconsin",26564,2.9,4.7,35.3,20.2,11.5,15.7,9.7,92.4,10,8.3,5.3,20625,30391,31837,39550,54028
0500000US55035,55035,"Eau_Claire County, Wisconsin",62427,3.1,3.6,27.1,22.1,12.9,19.9,11.3,93.2,12.3,8.8,2.6,20191,26233,31194,41827,55611
0500000US55037,55037,"Florence County, Wisconsin",3403,1.7,8.6,40.1,28.3,6,11,4.4,89.7,10.7,5.3,0.4,21328,26275,28977,50000,36875
0500000US55039,55039,"Fond_du_Lac County, Wisconsin",70155,3.4,6.1,38.5,20.4,10.7,14.3,6.6,90.5,7.8,7.4,3.6,21268,31797,35174,45905,61571
0500000US55041,55041,"Forest County, Wisconsin",6531,4.1,9.6,40.9,23,8.3,9.1,5.1,86.3,15.7,12.3,3.9,15069,24453,25667,39667,50417
0500000US55043,55043,"Grant County, Wisconsin",31695,3.9,5.4,39.1,20.5,10.9,12.9,7.3,90.7,9.5,9.7,5.5,19952,26750,30410,39938,52500
0500000US55045,55045,"Green County, Wisconsin",25674,2.9,5.3,39.2,22.4,9.3,14.2,6.7,91.8,9.4,6.7,2.8,28227,29588,34660,46113,58400
0500000US55047,55047,"Green_Lake County, Wisconsin",13444,4.6,7.7,42.3,19.9,8.2,11.6,5.7,87.6,7,5.9,4.8,23694,29113,31490,39028,54256
0500000US55049,55049,"Iowa County, Wisconsin",16552,2,5.5,35.7,23.1,10.5,16,7.2,92.4,8.1,7.5,4.6,24600,28038,33364,41071,51638
0500000US55051,55051,"Iron County, Wisconsin",4680,1.6,6.1,36.2,23.5,12,13.6,6.9,92.4,15.5,9.1,7.7,14250,23400,26674,33281,54125
